subject,course_number,course_title,first_seen_term,last_seen_term
ART,A125,Perspective Drawing,Intersession/Spring 2023,Fall 2026
ART,A127,Introduction to Storyboarding,Fall 2023,Fall 2026
ART,A128,Adv Storyboard & Previsualiztn,Intersession/Spring 2024,Fall 2025
ART,A129,Figure Draw Animate/Illustrate,Summer 2023,Winter/Spring 2026
ART,A130,Painting 1,Intersession/Spring 2023,Fall 2026
ART,A131,Painting 2,Intersession/Spring 2023,Fall 2026
ART,A132,Painting 3,Intersession/Spring 2023,Fall 2026
ART,A135,Digital Painting,Intersession/Spring 2023,Fall 2026
ART,A141,Sculpture 1,Intersession/Spring 2023,Fall 2026
ART,A143,Story Illustration Tech,Intersession/Spring 2023,Winter/Spring 2026
ART,A144,Illustration 2 - Sequential,Intersession/Spring 2023,Winter/Spring 2026
ART,A147,Jewelry 1,Intersession/Spring 2023,Fall 2026
ART,A148,World History of Ceramics,Intersession/Spring 2023,Fall 2026
ART,A150,Ceramics 1,Intersession/Spring 2023,Fall 2026
ART,A151,Ceramics 2,Intersession/Spring 2023,Fall 2026
ART,A152,Intermediate Ceramic Design,Intersession/Spring 2023,Fall 2026
ART,A153,Ceramics and Its Narrative,Intersession/Spring 2023,Fall 2026
ART,A170,Printmaking 1,Intersession/Spring 2023,Fall 2026
ART,A171,Printmaking 2,Intersession/Spring 2023,Fall 2026
ART,A175,Screen Process Printing 1,Intersession/Spring 2023,Fall 2026
ART,A176,Screen Process Printing 2,Intersession/Spring 2023,Fall 2026
ART,A180,Professional Studies,Intersession/Spring 2023,Winter/Spring 2026
ART,A220,Figure Composition,Intersession/Spring 2023,Winter/Spring 2026
ART,A236,Life Painting 1,Fall 2023,Fall 2026
ART,A237,Life Painting 2,Fall 2023,Fall 2026
ART,A241,Sculpture 2,Fall 2023,Winter/Spring 2026
ART,A247,Jewelry 2,Intersession/Spring 2023,Fall 2026
ART,A249,Digital Sculpture with ZBrush,Fall 2023,Fall 2026
ART,A250,Digital Sculpture 2,Fall 2026,Fall 2026
ART,A251,Character Design,Fall 2023,Fall 2026
ART,A252,Prop and Vehicle Design,Intersession/Spring 2023,Winter/Spring 2026
ART,A253,Environment Dsgn& Illustration,Fall 2023,Fall 2026
ART,A255,Entertainment Art Project,Intersession/Spring 2023,Winter/Spring 2026
ART,A256,Character Design 2,Fall 2025,Fall 2026
ART,A258,Environment Design 2,Fall 2025,Fall 2026
ART,A263,Watercolor 1,Fall 2023,Fall 2026
ART,A269,Cartooning 1,Intersession/Spring 2023,Summer 2026
ART,A270,Cartooning 2,Intersession/Spring 2023,Summer 2026
ARTH,A100,Art to the Medieval Era,Fall 2026,Fall 2026
ARTH,A100H,Survey Art Prehistory-Med H,Fall 2026,Fall 2026
ARTH,A101,Survey Art Ren-Cont,Fall 2026,Fall 2026
ASTR,A100,Introduction to Astronomy,Intersession/Spring 2023,Fall 2026
ASTR,A100H,Introduction Astronomy Honors,Intersession/Spring 2023,Fall 2026
ASTR,A100L,Introduction to Astronomy Lab,Intersession/Spring 2023,Fall 2026
ASTR,A100M,Intro Astronomy Lab Honors,Intersession/Spring 2023,Fall 2026
ASTR,A101,Planetary Astronomy,Fall 2023,Fall 2026
ASTR,A102,Stellar Astronomy,Intersession/Spring 2023,Winter/Spring 2026
ASTR,A103,Cosmology,Fall 2023,Fall 2026
ASTR,A104,Galactic Astronomy,Intersession/Spring 2023,Winter/Spring 2026
ASTR,A110,Observational Astronomy,Fall 2023,Fall 2026
ASTR,A200,Introduction to Astrophysics,Intersession/Spring 2024,Winter/Spring 2026
ASTR,A200H,Intro to Astrophysics Honors,Intersession/Spring 2024,Winter/Spring 2026
ATHL,A109,Sports Conditioning,Intersession/Spring 2023,Summer 2026
ATHL,A119,Athletic Team Training,Intersession/Spring 2023,Fall 2026
ATHL,A129,Fitness for Performance,Intersession/Spring 2023,Fall 2026
ATHL,A222,Pep Squad,Intersession/Spring 2023,Fall 2026
ATHL,A235,Basketball Team - Women's,Fall 2023,Fall 2026
ATHL,A236,Cross Country Team - Women's,Fall 2023,Fall 2026
ATHL,A238,Crew Team - Women's,Intersession/Spring 2023,Fall 2026
ATHL,A239,Golf Team - Women's,Fall 2023,Fall 2026
ATHL,A240,Soccer Team - Women's,Fall 2023,Fall 2026
ATHL,A241,Fastpitch Team,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A242,Swimming Team - Women's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A243,Tennis Team - Women's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A244,Track & Field Team - Women's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A245,Volleyball Team - Women's,Fall 2023,Fall 2026
ATHL,A246,Water Polo Team - Women's,Fall 2023,Fall 2026
ATHL,A247,Sand Volleyball Team-Women's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A250,Baseball Team,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A251,Basketball Team - Men's,Fall 2023,Fall 2026
ATHL,A252,Crew Team - Men's,Intersession/Spring 2023,Fall 2026
ATHL,A253,Cross Country Team - Men's,Fall 2023,Fall 2026
ATHL,A254,Football Team,Fall 2023,Fall 2026
ATHL,A255,Golf Team - Men's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A257,Soccer Team - Men's,Fall 2023,Fall 2026
ATHL,A258,Swimming Team - Men's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A259,Tennis Team - Men's,Intersession/Spring 2023,Winter/Spring 2026
ATHL,A260,Track & Field Team - Men's,Intersession/Spring 2023,Winter/Spring 2026
